"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BZ1","Buzzer","","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","1",""
"C1,C4,C5,C6","100nF","","Capacitor_SMD:C_0805_2012Metric","4",""
"C2","100uF","","Capacitor_SMD:CP_Elec_5x3","1",""
"C3","10uF","","Capacitor_SMD:CP_Elec_5x3.9","1",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D11","LED","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","10",""
"D10","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D12","SS34","https://www.vishay.com/docs/88751/ss32.pdf","Diode_SMD:D_3220_8050Metric_Pad2.65x5.15mm_HandSolder","1",""
"esp1,esp32_1","Conn_01x19_Pin","","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","2",""
"J1,J9","SOCKET_UP","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","2",""
"J2","Screw_Terminal_01x03","","TerminalBlock:TerminalBlock_bornier-3_P5.08mm","1",""
"J3,J5","Conn_01x08","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","2",""
"J4,J8,J12","PLACA","","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical,Connector_PinHeader_1.27mm:PinHeader_1x12_P1.27mm_Vertical","3",""
"J6","Conn_01x04","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","1",""
"J7","HEADER_DOWN","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J15","Screw_Terminal_01x02","","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1",""
"J16","Conn_01x02","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"K1","Relay_SPDT","","Relay_THT:Relay_SPDT_Finder_36.11","1",""
"Q1","NPN","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs","Package_TO_SOT_THT:TO-92L_Inline","1",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R15","1K","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","13",""
"R13,R14","R","","Resistor_SMD:R_0805_2012Metric,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"SW1","SW_SPDT","","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","1",""
"SW2,SW3,SW4","SW_Push_Dual","","Button_Switch_SMD:SW_Push_1P1T_NO_Vertical_Wuerth_434133025816","3",""
"U1,U2","LM324A","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","2",""
"U3","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_SMD:TO-263-2","1",""
